FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED ON 09-May-2021 
COMMENT	Batch detection
FILE	__SUMMARY_OF_MANY_FILES___
FILTERED	__SUMMARY_OF_MANY_FILES___
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
79.7	200	1.45	550	570	1.4	confocal
ANALYSIS-SETTINGS 	_FQ_batch_settings_MATURE_210509.txt
CELL	NO_CELLS_DEFINED
X_POS	0	END
Y_POS	0	END
SPOTS
File	Cell	Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	in_Nuc
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	10809.6	9884.59	1810.24	1744.85	210.76	3.04241e+06	101.432	101.432	229.909	149.767	159.654	765.827	129.783	161.193	810.244	8	137	125	10	135	139	123	127	6	14	1697	676	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	11008.9	10818.3	3316.29	4028.04	100.494	3.86714e+06	112.918	112.918	33.9645	163.084	157.583	509.759	169.722	138.459	716.286	34	139	137	18	137	141	135	139	14	22	1292	321	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	11059.1	5714.97	2401.46	1203.91	237.124	3.05542e+06	106.973	106.973	250.314	152.199	153.891	790.052	140.191	135.967	801.463	8	140	73	13	138	142	71	75	9	17	1473	500	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	11268	8961.99	3467.57	1633.88	122.782	5.34814e+06	117.704	117.704	156.397	170.035	146.1	676.948	189.686	115.288	867.569	18	142	114	18	140	144	112	116	14	22	1539	501	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	11348.8	2721.87	2115.43	1639.16	109.01	4.09877e+06	113.055	113.055	277.7	170.884	169.73	676.113	190.836	171.467	715.431	10	143	35	12	141	145	33	37	8	16	1829	678	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	11793.4	10712.9	379.523	1806.51	215.392	3.04702e+06	108.715	108.715	165.073	161.36	167.996	487.651	157.231	192.476	379.523	10	149	135	3	147	151	133	137	1	7	1764	597	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	11853.2	3635.7	2250.01	1174.07	225.631	2.34879e+06	100.198	100.198	231.33	152.619	150.872	787.804	137.251	128.904	850.005	9	150	47	12	148	152	45	49	8	16	1272	453	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	12409.7	7290.98	555.606	1435.82	211.326	2.10999e+06	103.533	103.533	198.828	152.726	145.065	636.951	135.918	117.984	555.606	8	157	93	4	155	159	91	95	1	8	1492	499	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	12474.3	8772.71	1855.64	1427.9	191.362	2.68655e+06	111.179	111.179	241.787	148.002	162.597	817.483	120.769	165.106	855.638	7	158	111	10	156	160	109	113	6	14	1529	567	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	13062.4	7204.46	2156.35	1330.6	242.27	2.5854e+06	108.568	108.568	235.821	156.85	166.103	778.352	150.986	190.856	756.355	8	165	91	12	163	167	89	93	8	16	1431	548	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	13050.4	13346.5	1751.67	1117.96	98.1019	4.45003e+06	103.941	103.941	153.102	150.917	142.557	970.427	138.999	116.318	751.666	22	165	169	10	163	167	167	171	6	14	1124	329	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	13583.3	8706.55	2321.07	1622.12	236.46	8.00409e+06	149.706	149.706	252.669	147.905	166.842	739.066	114.021	178.651	721.065	8	172	110	13	170	174	108	112	9	17	2004	786	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	13804.3	11716.8	626.327	1318.61	164.856	3.74717e+06	121.68	121.68	176.788	161.221	153.007	751.148	175.593	160.252	626.327	11	174	148	4	172	176	146	150	1	8	1461	501	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	13928.4	7959	45.834	2200.53	210.804	1.08137e+06	111.875	111.875	68.7814	158.281	156.844	241.812	140.265	148.397	45.834	87	176	101	1	174	178	99	103	1	5	1507	587	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	14501.6	11249.1	724.619	1468.32	154.315	3.62713e+06	113.202	113.202	190.396	151.964	157.214	817.556	155.633	170.828	724.619	8	183	142	5	181	185	140	144	1	9	1481	532	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	15468.2	11082.2	1128.27	812.519	61.5345	3.68095e+06	100.002	100.002	198.154	145.88	144.46	1048.26	165.803	163.282	928.27	20	195	140	6	193	197	138	142	2	10	1116	258	0	0	1	1	-1
