cell_id,Area,Channel,IntDen,RawIntDen,time,condition,repeat_exp,mock_bg_den,sub_RawIntDen,sm_mean_int,RNA_count,ImgeJ_cal_factor
CoV-FISH-06B_R1_24h_INF_00002_25,1349.441,ORFN,3845256.433,330581055,24,Untreated,R1,11068.976472595466,315644124.3198443,5448.466666666666,2027642.8263354616,35
CoV-FISH-06B_R1_24h_INF_00002_27,709.471,ORFN,153355.509,13184147,24,Untreated,R1,11068.976472595466,5331029.1930112215,5448.466666666666,34245.60214287679,35
CoV-FISH-06B_R1_24h_INF_00002_29,177.385,ORFN,599515.777,51541051,24,Untreated,R1,11068.976472595466,49577580.60840865,5448.466666666666,318477.734646011,35
CoV-FISH-06B_R1_24h_INF_00002_31,642.32,ORFN,210317.629,18081245,24,Untreated,R1,11068.976472595466,10971420.03212248,5448.466666666666,70478.48956727033,35
CoV-FISH-06B_R1_24h_INF_00002_33,950.726,ORFN,1809278.234,155545701,24,Untreated,R1,11068.976472595466,145022137.2741152,5448.466666666666,931596.9271955471,35
CoV-FISH-06B_R1_24h_INF_00002_35,209.245,ORFN,2123247.666,182538009,24,Untreated,R1,11068.976472595466,180221881.01799175,5448.466666666666,1157713.944405713,35
CoV-FISH-06B_R1_24h_INF_00002_37,1190.981,ORFN,3163682.834,271985400,24,Untreated,R1,11068.976472595466,258802459.33169177,5448.466666666666,1662501.8800290993,35
CoV-FISH-06B_R1_24h_INF_00002_39,274.534,ORFN,1613552.561,138718943,24,Untreated,R1,11068.976472595466,135680132.61307248,5448.466666666666,871585.5179055032,35
CoV-FISH-06B_R1_24h_INF_00003_1,1004.988,gRNA,307834.698,26464898,24,Untreated,R1,14383.340982982052,12009812.912194831,5186.933333333333,81038.91546581521,35
CoV-FISH-06B_R1_24h_INF_00003_3,723.452,gRNA,913212.338,78509900,24,Untreated,R1,14383.340982982052,68104243.19917966,5186.933333333333,459548.7080300412,35
CoV-FISH-06B_R1_24h_INF_00003_5,315.071,gRNA,796176.38,68448186,24,Untreated,R1,14383.340982982052,63916412.37315086,5186.933333333333,431290.3770487919,35
CoV-FISH-06B_R1_24h_INF_00003_7,1055.052,gRNA,427957.053,36791953,24,Untreated,R1,14383.340982982052,21616780.32922282,5186.933333333333,145864.09018613416,35
CoV-FISH-06B_R1_24h_INF_00003_9,754.707,gRNA,410453.247,35287131,24,Untreated,R1,14383.340982982052,24431922.876756564,5186.933333333333,164859.89808103946,35
CoV-FISH-06B_R1_24h_INF_00003_11,1433.621,gRNA,581931.572,50029317,24,Untreated,R1,14383.340982982052,29409057.316636287,5186.933333333333,198444.23283165455,35
