cell_id,time.adj,dsRNA_density,condition,repeat_exp
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,0.911445626,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,1.346419863,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,0.534248234,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,0.914227007,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,0.607890405,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,0.547156949,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,0.711019891,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_11,6,1.665018087,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_12,6,0.815991023,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_13,6,1.09060142,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,1.056536847,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,1.70226828,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,0.89711437,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,0.507027685,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,0.996905212,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,1.914126623,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,1.157397872,INF,R3
INF_4h_222_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,1.355218297,INF,R3
INF_4h_223_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,0.8215517,INF,R3
INF_4h_223_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,0.61309049,INF,R3
INF_4h_223_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,0.92290025,INF,R3
INF_4h_223_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,0.477516607,INF,R3
INF_4h_223_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,0.684547083,INF,R3
INF_4h_223_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,0.555262213,INF,R3
INF_4h_223_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,0.55309875,INF,R3
INF_4h_223_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,0.440429418,INF,R3
INF_4h_223_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,1.341759716,INF,R3
INF_4h_223_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,1.018239251,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,1.743615455,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,2.109487429,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_11,6,1.018680848,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_12,6,0.935447501,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_13,6,0.992041813,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_14,6,1.525233136,INF,R3
